City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
172,Isla Mujeres,MX,2022-08-12 14:36:48,21.2311,-86.731,84.25,68,10,7.9
173,Vardo,NO,2022-08-12 14:36:48,70.3705,31.1107,53.58,71,75,31.07
174,Uyuni,BO,2022-08-12 14:36:48,-20.4597,-66.825,49.62,16,6,11.39
175,Thompson,CA,2022-08-12 14:33:48,55.7435,-97.8558,55.56,94,100,14.97
176,Namibe,AO,2022-08-12 14:32:58,-15.1961,12.1522,67.77,77,33,11.88
177,Hambantota,LK,2022-08-12 14:36:49,6.1241,81.1185,84.54,74,20,8.05
178,Tautira,PF,2022-08-12 14:36:49,-17.7333,-149.15,77.32,72,38,19.37
179,Rodrigues Alves,BR,2022-08-12 14:36:49,-7.738,-72.6509,77.2,52,12,0.56
180,Lazaro Cardenas,MX,2022-08-12 14:36:50,17.9583,-102.2,80.74,77,94,4.36
181,Saint George,US,2022-08-12 14:36:50,37.1041,-113.5841,79.39,53,0,3.44
182,Ponta Do Sol,PT,2022-08-12 14:36:50,32.6667,-17.1,79.0,67,30,4.81
183,Saint-Francois,FR,2022-08-12 14:36:51,46.4154,3.9054,94.44,17,0,9.22
184,Bondo,CD,2022-08-12 14:36:51,3.8146,23.6866,77.86,69,99,3.04
185,Kulhudhuffushi,MV,2022-08-12 14:36:51,6.6221,73.07,82.26,82,51,9.28
186,La Ronge,CA,2022-08-12 14:36:52,55.1001,-105.2842,59.25,82,100,10.36
187,Vao,NC,2022-08-12 14:36:52,-22.6667,167.4833,68.76,62,9,18.57
188,Lhokseumawe,ID,2022-08-12 14:36:52,5.1801,97.1507,79.74,83,17,1.63
189,Itarema,BR,2022-08-12 14:36:53,-2.9248,-39.9167,86.61,58,5,18.12
190,The Valley,AI,2022-08-12 14:36:53,18.217,-63.0578,87.66,70,40,13.8
191,East London,ZA,2022-08-12 14:36:53,-33.0153,27.9116,61.74,77,20,23.02
192,Tommot,RU,2022-08-12 14:36:54,58.9564,126.2925,56.53,99,100,1.61
193,Mogadishu,SO,2022-08-12 14:36:54,2.0371,45.3438,80.47,74,75,17.27
194,Blagoyevo,RU,2022-08-12 14:36:54,63.3667,47.9167,66.88,46,79,11.72
195,Avera,US,2022-08-12 14:36:55,33.194,-82.5271,78.55,76,56,10.69
196,Bengkulu,ID,2022-08-12 14:36:55,-3.8004,102.2655,76.66,89,50,4.14
197,Lengshuijiang,CN,2022-08-12 14:36:55,27.6881,111.4294,82.33,66,90,3.44
198,Goderich,CA,2022-08-12 14:36:55,43.7501,-81.7165,68.32,68,0,2.3
199,Grenada,ES,2022-08-12 14:33:31,37.1882,-3.6067,104.36,19,20,9.22
200,Grand Gaube,MU,2022-08-12 14:36:56,-20.0064,57.6608,69.39,67,2,8.99
201,Mopipi,BW,2022-08-12 14:36:56,-21.1833,24.8833,83.62,12,0,2.75
202,Chernogorsk,RU,2022-08-12 14:36:56,53.8236,91.2842,69.37,68,0,4.47
203,Coquimbo,CL,2022-08-12 14:33:17,-29.9533,-71.3436,55.13,66,100,1.01
204,Pisco,PE,2022-08-12 14:35:02,-13.7,-76.2167,60.03,94,100,0.0
205,Carora,VE,2022-08-12 14:36:57,10.1755,-70.0827,88.47,44,20,0.78
206,Los Llanos De Aridane,ES,2022-08-12 14:36:57,28.6585,-17.9182,73.15,76,75,14.97
207,Vila Franca Do Campo,PT,2022-08-12 14:36:58,37.7167,-25.4333,79.21,68,20,5.82
208,Saint-Pierre,RE,2022-08-12 14:36:58,-21.3393,55.4781,69.48,74,0,18.41
209,Capreol,CA,2022-08-12 14:36:58,46.706,-80.9225,65.55,55,0,5.75
210,Hami,CN,2022-08-12 14:36:59,42.8,93.45,89.67,22,100,27.34
211,Yumen,CN,2022-08-12 14:36:59,40.2833,97.2,89.82,22,100,14.47
212,Marsa Matruh,EG,2022-08-12 14:36:59,31.3525,27.2453,86.2,66,0,14.97
213,Matara,LK,2022-08-12 14:37:00,5.9485,80.5353,78.04,91,12,7.31
214,Lompoc,US,2022-08-12 14:32:49,34.6391,-120.4579,57.34,96,100,6.91
215,Rawson,AR,2022-08-12 14:35:01,-43.3002,-65.1023,59.0,41,41,24.58
